county,total_ballots,turnout_percent,votes_republican,votes_democrat
Apache,32019,60.46,12795,18872
Cochise,58923,72.35,35936,22296
Coconino,70067,78.29,27576,41504
Gila,27648,80.74,18901,8504
Graham,15183,73.99,11177,3867
Greenlee,3308,70.78,2308,954
La Paz,7624,62.22,5470,2101
Maricopa,2053945,80.34,1051531,980016
Mohave,110450,75.47,85683,24081
Navajo,50706,73.65,29480,20754
Pima,513176,78.28,214669,292450
Pinal,209552,74.86,126926,80656
Santa Cruz,19121,61.18,7699,11265
Yavapai,149402,86.12,99346,48717
Yuma,68195,61.71,40745,26823
